diagnostic_code,valid_for_coding,category,sub_category,description,record_creation
X60-X84,N,V01-Y98,X60-X84,Intentional self-harm,2014-11-19 17:21:23.996408
X85-Y09,N,V01-Y98,X85-Y09,Assault,2014-11-19 17:21:23.996408
Y10-Y34,N,V01-Y98,Y10-Y34,Event of undetermined intent,2014-11-19 17:21:23.996408
Y35-Y36,N,V01-Y98,Y35-Y36,Legal intervention and operations of war,2014-11-19 17:21:23.996408
Y60-Y69,N,V01-Y98,Y60-Y69,Misadventures to patients during surgical and medical care,2014-11-19 17:21:23.996408
Y70-Y82,N,V01-Y98,Y70-Y82,Medical devices associated with adverse incidents in diagnostic and therapeutic use,2014-11-19 17:21:23.996408
Y85-Y89,N,V01-Y98,Y85-Y89,Sequelae of external causes of morbidity and mortality,2014-11-19 17:21:23.996408
Y90-Y98,N,V01-Y98,Y90-Y98,Supplementary factors related to causes of morbidity and mortality classified elsewhere,2014-11-19 17:21:23.996408
Z00-Z13,N,Z00-Z99,Z00-Z13,Persons encountering health services for examination and investigation,2014-11-19 17:21:23.996408
Z20-Z29,N,Z00-Z99,Z20-Z29,Persons with potential health hazards related to communicable diseases,2014-11-19 17:21:23.996408
Z30-Z39,N,Z00-Z99,Z30-Z39,Persons encountering health services in circumstances related to reproduction,2014-11-19 17:21:23.996408
Z40-Z54,N,Z00-Z99,Z40-Z54,Persons encountering health services for specific procedures and health care,2014-11-19 17:21:23.996408
Z55-Z65,N,Z00-Z99,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,2014-11-19 17:21:23.996408
Z70-Z76,N,Z00-Z99,Z70-Z76,Persons encountering health services in other circumstances,2014-11-19 17:21:23.996408
Z80-Z99,N,Z00-Z99,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,2014-11-19 17:21:23.996408
U00-U49,N,U00-U89,U00-U49,Provisional assignment of new diseases of uncertain etiology,2014-11-19 17:21:23.996408
U80-U89,N,U00-U89,U80-U89,Bacterial agents resistant to antibiotics,2014-11-19 17:21:23.996408
A15.1,Y,A00-B99,A15-A19,"Tuberculosis of lung, confirmed by culture only",2014-11-19 17:21:23.996408
A15.2,Y,A00-B99,A15-A19,"Tuberculosis of lung, confirmed histologically",2014-11-19 17:21:23.996408
A15.4,Y,A00-B99,A15-A19,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",2014-11-19 17:21:23.996408
A15.5,Y,A00-B99,A15-A19,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",2014-11-19 17:21:23.996408
A15.6,Y,A00-B99,A15-A19,"Tuberculous pleurisy, confirmed bacteriologically and histologically",2014-11-19 17:21:23.996408
A15.8,Y,A00-B99,A15-A19,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",2014-11-19 17:21:23.996408
A15.9,Y,A00-B99,A15-A19,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",2014-11-19 17:21:23.996408
A16.,N,A00-B99,A15-A19,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",2014-11-19 17:21:23.996408
A16.0,Y,A00-B99,A15-A19,"Tuberculosis of lung, bacteriologically and histologically negative",2014-11-19 17:21:23.996408
A16.1,Y,A00-B99,A15-A19,"Tuberculosis of lung, bacteriological and histological examination not done",2014-11-19 17:21:23.996408
A16.2,Y,A00-B99,A15-A19,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",2014-11-19 17:21:23.996408
A16.4,Y,A00-B99,A15-A19,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",2014-11-19 17:21:23.996408
A16.5,Y,A00-B99,A15-A19,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",2014-11-19 17:21:23.996408
A16.7,Y,A00-B99,A15-A19,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,2014-11-19 17:21:23.996408
A16.8,Y,A00-B99,A15-A19,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",2014-11-19 17:21:23.996408
A16.9,Y,A00-B99,A15-A19,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",2014-11-19 17:21:23.996408
A17.,N,A00-B99,A15-A19,Tuberculosis of nervous system,2014-11-19 17:21:23.996408
A17.0,Y,A00-B99,A15-A19,Tuberculous meningitis,2014-11-19 17:21:23.996408
A17.1,Y,A00-B99,A15-A19,Meningeal tuberculoma,2014-11-19 17:21:23.996408
A17.8,Y,A00-B99,A15-A19,Other tuberculosis of nervous system,2014-11-19 17:21:23.996408
A17.9,Y,A00-B99,A15-A19,"Tuberculosis of nervous system, unspecified",2014-11-19 17:21:23.996408
A18.,N,A00-B99,A15-A19,Tuberculosis of other organs,2014-11-19 17:21:23.996408
A18.1,Y,A00-B99,A15-A19,Tuberculosis of genitourinary system,2014-11-19 17:21:23.996408
A18.2,Y,A00-B99,A15-A19,Tuberculous peripheral lymphadenopathy,2014-11-19 17:21:23.996408
A18.4,Y,A00-B99,A15-A19,Tuberculosis of skin and subcutaneous tissue,2014-11-19 17:21:23.996408
A18.5,Y,A00-B99,A15-A19,Tuberculosis of eye,2014-11-19 17:21:23.996408
A18.6,Y,A00-B99,A15-A19,Tuberculosis of ear,2014-11-19 17:21:23.996408
A18.7,Y,A00-B99,A15-A19,Tuberculosis of adrenal glands,2014-11-19 17:21:23.996408
A18.8,Y,A00-B99,A15-A19,Tuberculosis of other specified organs,2014-11-19 17:21:23.996408
A19.,N,A00-B99,A15-A19,Miliary tuberculosis,2014-11-19 17:21:23.996408
A19.1,Y,A00-B99,A15-A19,Acute miliary tuberculosis of multiple sites,2014-11-19 17:21:23.996408
A19.2,Y,A00-B99,A15-A19,"Acute miliary tuberculosis, unspecified",2014-11-19 17:21:23.996408
A19.8,Y,A00-B99,A15-A19,Other miliary tuberculosis,2014-11-19 17:21:23.996408
A19.9,Y,A00-B99,A15-A19,"Miliary tuberculosis, unspecified",2014-11-19 17:21:23.996408
A20.,N,A00-B99,A20-A28,Plague,2014-11-19 17:21:23.996408
A20.0,Y,A00-B99,A20-A28,Bubonic plague,2014-11-19 17:21:23.996408
A20.2,Y,A00-B99,A20-A28,Pneumonic plague,2014-11-19 17:21:23.996408
A20.3,Y,A00-B99,A20-A28,Plague meningitis,2014-11-19 17:21:23.996408
A20.7,Y,A00-B99,A20-A28,Septicaemic plague,2014-11-19 17:21:23.996408
A20.9,Y,A00-B99,A20-A28,"Plague, unspecified",2014-11-19 17:21:23.996408
A21.,N,A00-B99,A20-A28,Tularaemia,2014-11-19 17:21:23.996408
A21.0,Y,A00-B99,A20-A28,Ulceroglandular tularaemia,2014-11-19 17:21:23.996408
A21.2,Y,A00-B99,A20-A28,Pulmonary tularaemia,2014-11-19 17:21:23.996408
A21.3,Y,A00-B99,A20-A28,Gastrointestinal tularaemia,2014-11-19 17:21:23.996408
A21.7,Y,A00-B99,A20-A28,Generalized tularaemia,2014-11-19 17:21:23.996408
A21.8,Y,A00-B99,A20-A28,Other forms of tularaemia,2014-11-19 17:21:23.996408
A22.,N,A00-B99,A20-A28,Anthrax,2014-11-19 17:21:23.996408
A22.0,Y,A00-B99,A20-A28,Cutaneous anthrax,2014-11-19 17:21:23.996408
A22.1,Y,A00-B99,A20-A28,Pulmonary anthrax,2014-11-19 17:21:23.996408
A22.7,Y,A00-B99,A20-A28,Anthrax sepsis,2014-11-19 17:21:23.996408
A22.8,Y,A00-B99,A20-A28,Other forms of anthrax,2014-11-19 17:21:23.996408
A22.9,Y,A00-B99,A20-A28,"Anthrax, unspecified",2014-11-19 17:21:23.996408
A23.,N,A00-B99,A20-A28,Brucellosis,2014-11-19 17:21:23.996408
A23.1,Y,A00-B99,A20-A28,Brucellosis due to Brucella abortus,2014-11-19 17:21:23.996408
A23.2,Y,A00-B99,A20-A28,Brucellosis due to Brucella suis,2014-11-19 17:21:23.996408
A23.3,Y,A00-B99,A20-A28,Brucellosis due to Brucella canis,2014-11-19 17:21:23.996408
A23.8,Y,A00-B99,A20-A28,Other brucellosis,2014-11-19 17:21:23.996408
A24.,N,A00-B99,A20-A28,Glanders and melioidosis,2014-11-19 17:21:23.996408
A24.0,Y,A00-B99,A20-A28,Glanders,2014-11-19 17:21:23.996408
A24.1,Y,A00-B99,A20-A28,Acute and fulminating melioidosis,2014-11-19 17:21:23.996408
A24.3,Y,A00-B99,A20-A28,Other melioidosis,2014-11-19 17:21:23.996408
A24.4,Y,A00-B99,A20-A28,"Melioidosis, unspecified",2014-11-19 17:21:23.996408
A25.,N,A00-B99,A20-A28,Rat-bite fevers,2014-11-19 17:21:23.996408
A25.0,Y,A00-B99,A20-A28,Spirillosis,2014-11-19 17:21:23.996408
A25.1,Y,A00-B99,A20-A28,Streptobacillosis,2014-11-19 17:21:23.996408
A26.,N,A00-B99,A20-A28,Erysipeloid,2014-11-19 17:21:23.996408
A26.0,Y,A00-B99,A20-A28,Cutaneous erysipeloid,2014-11-19 17:21:23.996408
A26.7,Y,A00-B99,A20-A28,Erysipelothrix sepsis,2014-11-19 17:21:23.996408
A26.9,Y,A00-B99,A20-A28,"Erysipeloid, unspecified",2014-11-19 17:21:23.996408
A27.,N,A00-B99,A20-A28,Leptospirosis,2014-11-19 17:21:23.996408
A27.0,Y,A00-B99,A20-A28,Leptospirosis icterohaemorrhagica,2014-11-19 17:21:23.996408
A27.9,Y,A00-B99,A20-A28,"Leptospirosis, unspecified",2014-11-19 17:21:23.996408
A28.,N,A00-B99,A20-A28,"Other zoonotic bacterial diseases, not elsewhere classified",2014-11-19 17:21:23.996408
A28.0,Y,A00-B99,A20-A28,Pasteurellosis,2014-11-19 17:21:23.996408
A28.1,Y,A00-B99,A20-A28,Cat-scratch disease,2014-11-19 17:21:23.996408
A28.8,Y,A00-B99,A20-A28,"Other specified zoonotic bacterial diseases, not elsewhere classified",2014-11-19 17:21:23.996408
A30.,N,A00-B99,A30-A49,Leprosy [Hansen disease],2014-11-19 17:21:23.996408
A30.0,Y,A00-B99,A30-A49,Indeterminate leprosy,2014-11-19 17:21:23.996408
A30.1,Y,A00-B99,A30-A49,Tuberculoid leprosy,2014-11-19 17:21:23.996408
A30.3,Y,A00-B99,A30-A49,Borderline leprosy,2014-11-19 17:21:23.996408
A30.4,Y,A00-B99,A30-A49,Borderline lepromatous leprosy,2014-11-19 17:21:23.996408
A30.5,Y,A00-B99,A30-A49,Lepromatous leprosy,2014-11-19 17:21:23.996408
A30.8,Y,A00-B99,A30-A49,Other forms of leprosy,2014-11-19 17:21:23.996408
A31.,N,A00-B99,A30-A49,Infection due to other mycobacteria,2014-11-19 17:21:23.996408
A31.0,Y,A00-B99,A30-A49,Pulmonary mycobacterial infection,2014-11-19 17:21:23.996408
A31.1,Y,A00-B99,A30-A49,Cutaneous mycobacterial infection,2014-11-19 17:21:23.996408
A31.9,Y,A00-B99,A30-A49,"Mycobacterial infection, unspecified",2014-11-19 17:21:23.996408
A32.,N,A00-B99,A30-A49,Listeriosis,2014-11-19 17:21:23.996408
A32.0,Y,A00-B99,A30-A49,Cutaneous listeriosis,2014-11-19 17:21:23.996408
A32.7,Y,A00-B99,A30-A49,Listerial sepsis,2014-11-19 17:21:23.996408
A32.8,Y,A00-B99,A30-A49,Other forms of listeriosis,2014-11-19 17:21:23.996408
A32.9,Y,A00-B99,A30-A49,"Listeriosis, unspecified",2014-11-19 17:21:23.996408
A33.,Y,A00-B99,A30-A49,Tetanus neonatorum,2014-11-19 17:21:23.996408
A34.,Y,A00-B99,A30-A49,Obstetrical tetanus,2014-11-19 17:21:23.996408
A35.,Y,A00-B99,A30-A49,Other tetanus,2014-11-19 17:21:23.996408
A36.0,Y,A00-B99,A30-A49,Pharyngeal diphtheria,2014-11-19 17:21:23.996408
A36.1,Y,A00-B99,A30-A49,Nasopharyngeal diphtheria,2014-11-19 17:21:23.996408
A36.3,Y,A00-B99,A30-A49,Cutaneous diphtheria,2014-11-19 17:21:23.996408
A36.8,Y,A00-B99,A30-A49,Other diphtheria,2014-11-19 17:21:23.996408
A36.9,Y,A00-B99,A30-A49,"Diphtheria, unspecified",2014-11-19 17:21:23.996408
A37.,N,A00-B99,A30-A49,Whooping cough,2014-11-19 17:21:23.996408
A37.1,Y,A00-B99,A30-A49,Whooping cough due to Bordetella parapertussis,2014-11-19 17:21:23.996408
A37.8,Y,A00-B99,A30-A49,Whooping cough due to other Bordetella species,2014-11-19 17:21:23.996408
A37.9,Y,A00-B99,A30-A49,"Whooping cough, unspecified",2014-11-19 17:21:23.996408
A38.,Y,A00-B99,A30-A49,Scarlet fever,2014-11-19 17:21:23.996408
A39.0,Y,A00-B99,A30-A49,Meningococcal meningitis,2014-11-19 17:21:23.996408
A39.1,Y,A00-B99,A30-A49,Waterhouse-Friderichsen syndrome,2014-11-19 17:21:23.996408
A39.2,Y,A00-B99,A30-A49,Acute meningococcaemia,2014-11-19 17:21:23.996408
A39.4,Y,A00-B99,A30-A49,"Meningococcaemia, unspecified",2014-11-19 17:21:23.996408
A39.5,Y,A00-B99,A30-A49,Meningococcal heart disease,2014-11-19 17:21:23.996408
A39.8,Y,A00-B99,A30-A49,Other meningococcal infections,2014-11-19 17:21:23.996408
A40.,N,A00-B99,A30-A49,Streptococcal sepsis,2014-11-19 17:21:23.996408
A40.0,Y,A00-B99,A30-A49,"Sepsis due to streptococcus, group A",2014-11-19 17:21:23.996408
A40.1,Y,A00-B99,A30-A49,"Sepsis due to streptococcus, group B",2014-11-19 17:21:23.996408
A40.2,Y,A00-B99,A30-A49,"Sepsis due to streptococcus, group D",2014-11-19 17:21:23.996408
A40.8,Y,A00-B99,A30-A49,Other streptococcal sepsis,2014-11-19 17:21:23.996408
A40.9,Y,A00-B99,A30-A49,"Streptococcal sepsis, unspecified",2014-11-19 17:21:23.996408
A41.,N,A00-B99,A30-A49,Other sepsis,2014-11-19 17:21:23.996408
A41.0,Y,A00-B99,A30-A49,Sepsis due to Staphylococcus aureus,2014-11-19 17:21:23.996408
A41.2,Y,A00-B99,A30-A49,Sepsis due to unspecified staphylococcus,2014-11-19 17:21:23.996408
A41.3,Y,A00-B99,A30-A49,Sepsis due to Haemophilus influenzae,2014-11-19 17:21:23.996408
A41.4,Y,A00-B99,A30-A49,Sepsis due to anaerobes,2014-11-19 17:21:23.996408
A41.5,Y,A00-B99,A30-A49,Sepsis due to other Gram-negative organisms,2014-11-19 17:21:23.996408
A41.8,Y,A00-B99,A30-A49,Other specified sepsis,2014-11-19 17:21:23.996408
A42.,N,A00-B99,A30-A49,Actinomycosis,2014-11-19 17:21:23.996408
A42.0,Y,A00-B99,A30-A49,Pulmonary actinomycosis,2014-11-19 17:21:23.996408
A42.1,Y,A00-B99,A30-A49,Abdominal actinomycosis,2014-11-19 17:21:23.996408
A42.7,Y,A00-B99,A30-A49,Actinomycotic sepsis,2014-11-19 17:21:23.996408
A42.8,Y,A00-B99,A30-A49,Other forms of actinomycosis,2014-11-19 17:21:23.996408
A42.9,Y,A00-B99,A30-A49,"Actinomycosis, unspecified",2014-11-19 17:21:23.996408
A43.,N,A00-B99,A30-A49,Nocardiosis,2014-11-19 17:21:23.996408
A43.1,Y,A00-B99,A30-A49,Cutaneous nocardiosis,2014-11-19 17:21:23.996408
A43.8,Y,A00-B99,A30-A49,Other forms of nocardiosis,2014-11-19 17:21:23.996408
A43.9,Y,A00-B99,A30-A49,"Nocardiosis, unspecified",2014-11-19 17:21:23.996408
A44.0,Y,A00-B99,A30-A49,Systemic bartonellosis,2014-11-19 17:21:23.996408
A44.1,Y,A00-B99,A30-A49,Cutaneous and mucocutaneous bartonellosis,2014-11-19 17:21:23.996408
A44.9,Y,A00-B99,A30-A49,"Bartonellosis, unspecified",2014-11-19 17:21:23.996408
A46.,Y,A00-B99,A30-A49,Erysipelas,2014-11-19 17:21:23.996408
A48.,N,A00-B99,A30-A49,"Other bacterial diseases, not elsewhere classified",2014-11-19 17:21:23.996408
A48.0,Y,A00-B99,A30-A49,Gas gangrene,2014-11-19 17:21:23.996408
A48.2,Y,A00-B99,A30-A49,Nonpneumonic Legionnaires disease [Pontiac fever],2014-11-19 17:21:23.996408
A48.3,Y,A00-B99,A30-A49,Toxic shock syndrome,2014-11-19 17:21:23.996408
A48.4,Y,A00-B99,A30-A49,Brazilian purpuric fever,2014-11-19 17:21:23.996408
A49.,N,A00-B99,A30-A49,Bacterial infection of unspecified site,2014-11-19 17:21:23.996408
A49.0,Y,A00-B99,A30-A49,"Staphylococcal infection, unspecified site",2014-11-19 17:21:23.996408
A49.1,Y,A00-B99,A30-A49,"Streptococcal infection, unspecified site",2014-11-19 17:21:23.996408
A49.3,Y,A00-B99,A30-A49,"Mycoplasma infection, unspecified site",2014-11-19 17:21:23.996408
A49.8,Y,A00-B99,A30-A49,Other bacterial infections of unspecified site,2014-11-19 17:21:23.996408
A49.9,Y,A00-B99,A30-A49,"Bacterial infection, unspecified",2014-11-19 17:21:23.996408
A50.,N,A00-B99,A50-A64,Congenital syphilis,2014-11-19 17:21:23.996408
A50.0,Y,A00-B99,A50-A64,"Early congenital syphilis, symptomatic",2014-11-19 17:21:23.996408
A50.1,Y,A00-B99,A50-A64,"Early congenital syphilis, latent",2014-11-19 17:21:23.996408
A50.3,Y,A00-B99,A50-A64,Late congenital syphilitic oculopathy,2014-11-19 17:21:23.996408
A50.4,Y,A00-B99,A50-A64,Late congenital neurosyphilis [juvenile neurosyphilis],2014-11-19 17:21:23.996408
A50.5,Y,A00-B99,A50-A64,"Other late congenital syphilis, symptomatic",2014-11-19 17:21:23.996408
A50.6,Y,A00-B99,A50-A64,"Late congenital syphilis, latent",2014-11-19 17:21:23.996408
A50.9,Y,A00-B99,A50-A64,"Congenital syphilis, unspecified",2014-11-19 17:21:23.996408
A51.,N,A00-B99,A50-A64,Early syphilis,2014-11-19 17:21:23.996408
A51.0,Y,A00-B99,A50-A64,Primary genital syphilis,2014-11-19 17:21:23.996408
A51.2,Y,A00-B99,A50-A64,Primary syphilis of other sites,2014-11-19 17:21:23.996408
A51.4,Y,A00-B99,A50-A64,Other secondary syphilis,2014-11-19 17:21:23.996408
A51.5,Y,A00-B99,A50-A64,"Early syphilis, latent",2014-11-19 17:21:23.996408
A51.9,Y,A00-B99,A50-A64,"Early syphilis, unspecified",2014-11-19 17:21:23.996408
A52.,N,A00-B99,A50-A64,Late syphilis,2014-11-19 17:21:23.996408
A52.0,Y,A00-B99,A50-A64,Cardiovascular syphilis,2014-11-19 17:21:23.996408
A52.2,Y,A00-B99,A50-A64,Asymptomatic neurosyphilis,2014-11-19 17:21:23.996408
A52.3,Y,A00-B99,A50-A64,"Neurosyphilis, unspecified",2014-11-19 17:21:23.996408
A52.7,Y,A00-B99,A50-A64,Other symptomatic late syphilis,2014-11-19 17:21:23.996408
A52.9,Y,A00-B99,A50-A64,"Late syphilis, unspecified",2014-11-19 17:21:23.996408
A53.,N,A00-B99,A50-A64,Other and unspecified syphilis,2014-11-19 17:21:23.996408
A53.9,Y,A00-B99,A50-A64,"Syphilis, unspecified",2014-11-19 17:21:23.996408
A54.,N,A00-B99,A50-A64,Gonococcal infection,2014-11-19 17:21:23.996408
A54.1,Y,A00-B99,A50-A64,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,2014-11-19 17:21:23.996408
A54.2,Y,A00-B99,A50-A64,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,2014-11-19 17:21:23.996408
A54.3,Y,A00-B99,A50-A64,Gonococcal infection of eye,2014-11-19 17:21:23.996408
A54.4,Y,A00-B99,A50-A64,Gonococcal infection of musculoskeletal system,2014-11-19 17:21:23.996408
A54.5,Y,A00-B99,A50-A64,Gonococcal pharyngitis,2014-11-19 17:21:23.996408
A54.6,Y,A00-B99,A50-A64,Gonococcal infection of anus and rectum,2014-11-19 17:21:23.996408
A54.8,Y,A00-B99,A50-A64,Other gonococcal infections,2014-11-19 17:21:23.996408
A54.9,Y,A00-B99,A50-A64,"Gonococcal infection, unspecified",2014-11-19 17:21:23.996408
A55.,Y,A00-B99,A50-A64,Chlamydial lymphogranuloma (venereum),2014-11-19 17:21:23.996408
A56.,N,A00-B99,A50-A64,Other sexually transmitted chlamydial diseases,2014-11-19 17:21:23.996408
A56.1,Y,A00-B99,A50-A64,Chlamydial infection of pelviperitoneum and other genitourinary organs,2014-11-19 17:21:23.996408
A56.2,Y,A00-B99,A50-A64,"Chlamydial infection of genitourinary tract, unspecified",2014-11-19 17:21:23.996408
A56.3,Y,A00-B99,A50-A64,Chlamydial infection of anus and rectum,2014-11-19 17:21:23.996408
A56.4,Y,A00-B99,A50-A64,Chlamydial infection of pharynx,2014-11-19 17:21:23.996408
A57.,Y,A00-B99,A50-A64,Chancroid,2014-11-19 17:21:23.996408
A58.,Y,A00-B99,A50-A64,Granuloma inguinale,2014-11-19 17:21:23.996408
A59.,N,A00-B99,A50-A64,Trichomoniasis,2014-11-19 17:21:23.996408
A59.0,Y,A00-B99,A50-A64,Urogenital trichomoniasis,2014-11-19 17:21:23.996408
A59.8,Y,A00-B99,A50-A64,Trichomoniasis of other sites,2014-11-19 17:21:23.996408
A59.9,Y,A00-B99,A50-A64,"Trichomoniasis, unspecified",2014-11-19 17:21:23.996408
A60.0,Y,A00-B99,A50-A64,Herpesviral infection of genitalia and urogenital tract,2014-11-19 17:21:23.996408
A60.1,Y,A00-B99,A50-A64,Herpesviral infection of perianal skin and rectum,2014-11-19 17:21:23.996408
A60.9,Y,A00-B99,A50-A64,"Anogenital herpesviral infection, unspecified",2014-11-19 17:21:23.996408
A63.0,Y,A00-B99,A50-A64,Anogenital (venereal) warts,2014-11-19 17:21:23.996408
A63.8,Y,A00-B99,A50-A64,Other specified predominantly sexually transmitted diseases,2014-11-19 17:21:23.996408
A64.,Y,A00-B99,A50-A64,Unspecified sexually transmitted disease,2014-11-19 17:21:23.996408
A65.,Y,A00-B99,A65-A69,Nonvenereal syphilis,2014-11-19 17:21:23.996408
A66.,N,A00-B99,A65-A69,Yaws,2014-11-19 17:21:23.996408
A66.0,Y,A00-B99,A65-A69,Initial lesions of yaws,2014-11-19 17:21:23.996408
A66.1,Y,A00-B99,A65-A69,Multiple papillomata and wet crab yaws,2014-11-19 17:21:23.996408
A66.2,Y,A00-B99,A65-A69,Other early skin lesions of yaws,2014-11-19 17:21:23.996408
A66.3,Y,A00-B99,A65-A69,Hyperkeratosis of yaws,2014-11-19 17:21:23.996408
A66.5,Y,A00-B99,A65-A69,Gangosa,2014-11-19 17:21:23.996408
A66.6,Y,A00-B99,A65-A69,Bone and joint lesions of yaws,2014-11-19 17:21:23.996408
A66.7,Y,A00-B99,A65-A69,Other manifestations of yaws,2014-11-19 17:21:23.996408
A66.8,Y,A00-B99,A65-A69,Latent yaws,2014-11-19 17:21:23.996408
A67.,N,A00-B99,A65-A69,Pinta [carate],2014-11-19 17:21:23.996408
A67.0,Y,A00-B99,A65-A69,Primary lesions of pinta,2014-11-19 17:21:23.996408
A67.2,Y,A00-B99,A65-A69,Late lesions of pinta,2014-11-19 17:21:23.996408
A67.3,Y,A00-B99,A65-A69,Mixed lesions of pinta,2014-11-19 17:21:23.996408
A67.9,Y,A00-B99,A65-A69,"Pinta, unspecified",2014-11-19 17:21:23.996408
